,site,plot,tag,species,dbh,high.rep,molecular,longitude,latitude,time.point,days_elapsed,years_elapsed,litterMass,dowelMass,mass.loss.litter,percent.loss.litter,mass.loss.dowel,percent.loss.dowel,k_litter,VWC,pH,WHC,SIR,soil.N,soil.C,soil.CN,litter.d15N,litter.d13C,litter.N,litter.C,litter.CN,lignin.N
37,BART,8,54,TSCA,33.5,FALSE,TRUE,-71.28852624,44.06371699,2,649,1.778082192,2.911523418,1.24927331,2.727191092,48.36547563,1.00072669,44.4767418,0.371737405,15.73333333,4.21,0.801015836,25.77615927,1.489128535,42.15345184,28.30746362,-3.2,-33.5,1,50.2,50.2,17
38,BART,9,55,TSCA,63.9,FALSE,TRUE,-71.28703859,44.06430115,1,299,0.819178082,4.726851388,2.047066502,0.833051582,14.98320361,-0.076066502,-3.859284721,0.198151474,15.04444444,NA,NA,NA,0.583297754,15.74657379,26.99577307,-4,-32.5,1.1,50.3,45.72727273,15.45454545
39,BART,9,57,TSCA,63.9,FALSE,TRUE,-71.28703859,44.06430115,2,649,1.778082192,3.301490561,1.030128018,2.289824291,40.95323464,1.354871982,56.80804958,0.296297002,15.04444444,NA,NA,NA,0.583297754,15.74657379,26.99577307,-4,-32.5,1.1,50.3,45.72727273,15.45454545
40,BART,10,59,ACRU,37.3,FALSE,FALSE,-71.28548342,44.06285509,1,299,0.819178082,3.842067184,1.86615464,1.901794885,33.1100375,0.23084536,11.0083624,0.490883821,49.65555556,4.23,0.735861879,17.75402163,1.355603084,23.5143138,17.34601675,-4.5,-27,0.6,48.9,81.5,25.5
41,BART,10,60,ACRU,37.3,FALSE,FALSE,-71.28548342,44.06285509,2,649,1.778082192,3.3399,1.4054,2.364858621,41.45413992,1.1506,45.01564945,0.301088335,49.65555556,4.23,0.735861879,17.75402163,1.355603084,23.5143138,17.34601675,-4.5,-27,0.6,48.9,81.5,25.5
42,BART,11,501,FAGR,41,TRUE,TRUE,-71.28541055,44.06287865,1,280,0.767123288,5.553492184,2.025668284,0.6495117,10.47092202,0.017331716,0.84834634,0.14418376,39.7,4.5,0.594911709,9.857681086,0.506452573,10.9083662,21.53877143,-2.8,-28.4,0.6,46.5,77.5,39.83333333
43,BART,11,503,FAGR,41,TRUE,TRUE,-71.28541055,44.06287865,2,630,1.726027397,4.8322,1.7482,1.300669417,21.20817074,0.5378,23.52580927,0.138097973,39.7,4.5,0.594911709,9.857681086,0.506452573,10.9083662,21.53877143,-2.8,-28.4,0.6,46.5,77.5,39.83333333
44,BART,11,505,FAGR,41,TRUE,TRUE,-71.28541055,44.06287865,1,280,0.767123288,5.933706312,2.452717166,0.27709029,4.461429145,-0.058717166,-2.452680297,0.059495178,39.7,4.5,0.594911709,9.857681086,0.506452573,10.9083662,21.53877143,-2.8,-28.4,0.6,46.5,77.5,39.83333333
45,BART,11,506,FAGR,41,TRUE,TRUE,-71.28541055,44.06287865,1,280,0.767123288,5.004647318,2.02361204,1.284076469,20.41871312,0.18138796,8.226211323,0.297724256,39.7,4.5,0.594911709,9.857681086,0.506452573,10.9083662,21.53877143,-2.8,-28.4,0.6,46.5,77.5,39.83333333
46,BART,11,507,FAGR,41,TRUE,TRUE,-71.28541055,44.06287865,1,280,0.767123288,5.084294018,2.366749583,1.192740691,19.00165837,0.009250417,0.389327313,0.274716605,39.7,4.5,0.594911709,9.857681086,0.506452573,10.9083662,21.53877143,-2.8,-28.4,0.6,46.5,77.5,39.83333333
